"","code_arret_theo","libelle_arret_theo2","code_ligne_theo","direction_voy_theo","sequence_theo","montees","descentes"
"1","MALAD_N","Maladière",6,"A",1,175278.17,0
"2","MTOIE_E","Montoie",6,"A",2,107241.63,9345.035
"3","FIGUI_E","Figuiers",6,"A",3,122778,7629.7812
"4","MT-OR_E","Mont d'Or",6,"A",4,80856.84,6038.849
"5","FNAY_N ","Fontenay",6,"A",5,114860.56,9123.107
"6","LGDOC_N","Languedoc",6,"A",6,53335.96,4194.216
"7","M-DUF_N","Pont Marc Dufour",6,"A",7,72311.766,49464.965
"8","CECIL_N","Cécil",6,"A",8,71975.984,127632.75
"9","CH_E   ","Chauderon",6,"A",9,238888.28,209851.88
"10","B-AIR_C","Bel-Air",6,"A",10,289944.6,173640.25
"11","SF_P   ","St-François",6,"A",11,330791.34,151242.38
"12","BESS_N ","Bessières",6,"A",12,182646.83,164137.69
"13","OURS_E ","Ours",6,"A",13,226915.55,140537.53
"14","BETHU_N","Béthusy",6,"A",14,32038.895,162887.98
"15","ALLIE_N","Allières",6,"A",15,19149.318,94693.73
"16","VROSS_N","Virgile-Rossel",6,"A",16,25892.52,126969.99
"17","VALNT_N","Vallonnette",6,"A",17,47079.65,169721.11
"18","VRUFF_N","Victor-Ruffy",6,"A",18,3869.179,43263.312
"19","SALA_A ","Sallaz",6,"A",19,464810.56,189801.03
"20","ST-ET_E","St-Etienne",6,"A",20,18554.38,40939.617
"21","VALMT_E","Valmont",6,"A",21,42443.79,190130.02
"22","FOYER_E","Foyer",6,"A",22,9224.061,127628.11
"23","BOVRE_N","Boveresses",6,"A",23,9971.8955,238812.84
"24","PSECH_B","Praz-Séchaud",6,"A",24,0,311092.3
"25","PSECH_B","Praz-Séchaud",6,"R",1,285332.88,0
"26","BOVRE_S","Boveresses",6,"R",2,219289.28,13973.692
"27","FOYER_O","Foyer",6,"R",3,101447.64,7277.789
"28","VALMT_O","Valmont",6,"R",4,214021.4,23600.916
"29","ST-ET_O","St-Etienne",6,"R",5,31431.928,29715.21
"30","SALA_B ","Sallaz",6,"R",6,166759.42,439965.94
"31","VRUFF_S","Victor-Ruffy",6,"R",7,32928.703,7835.7266
"32","VALNT_S","Vallonnette",6,"R",8,141871.8,39629.242
"33","VROSS_S","Virgile-Rossel",6,"R",9,99557.76,24664.746
"34","ALLIE_S","Allières",6,"R",10,55944.72,19608.023
"35","BETHU_O","Béthusy",6,"R",11,81158.6,47030.02
"36","OURS_O ","Ours",6,"R",12,60284.914,101796.32
"37","BESS_S ","Bessières",6,"R",13,103182.15,143309.67
"38","SF_O   ","St-François",6,"R",14,138454.31,276938.12
"39","B-AIR_O","Bel-Air",6,"R",15,181135.25,159284.69
"40","CH_O   ","Chauderon",6,"R",16,118765.39,177081.42
"41","PT-CH_S","Pont Chauderon",6,"R",17,113816.266,27919.094
"42","CECIL_S","Cécil",6,"R",18,72426.14,101245.35
"43","M-DUF_S","Pont Marc Dufour",6,"R",19,37176.08,75241.305
"44","LGDOC_S","Languedoc",6,"R",20,3833.173,55229.5
"45","FNAY_O ","Fontenay",6,"R",21,5272.6895,93613.92
"46","MT-OR_O","Mont d'Or",6,"R",22,5495.8765,69416.47
"47","FIGUI_O","Figuiers",6,"R",23,2845.0405,105947.67
"48","MTOIE_O","Montoie",6,"R",24,3169.6475,86897.72
"49","MALAD_N","Maladière",6,"R",25,0,146957.27
"50","SF_O   ","St-François",7,"A",1,240627.8,851.3697
"51","B-AIR_N","Bel-Air",7,"A",2,321185.12,219211.9
"52","RIP_N  ","Riponne-M. Béjart",7,"A",3,232721.31,54673.34
"53","TNEL_E ","Tunnel",7,"A",4,82338.555,99309.61
"54","NORD_E ","Place du Nord",7,"A",5,55841.58,99146.55
"55","OURS_E ","Ours",7,"A",6,567177.75,86302.03
"56","BETHU_E","Béthusy",7,"A",7,46205.918,143166.19
"57","FAUCO_E","Fauconnières",7,"A",8,11606.746,98972.08
"58","PCHLY_E","Pont de Chailly",7,"A",9,118135.266,480874.8
"59","CHLYV_E","Chailly-Village",7,"A",10,14170.898,205132.88
"60","CDRTT_E","Coudrette",7,"A",11,2238.248,77505.08
"61","ROS_E  ","Rosiaz",7,"A",13,2682.3818,113911.53
"62","VVERT_T","Pully, Val-Vert",7,"A",14,0,296237.84
"63","VVERT_T","Pully, Val-Vert",7,"R",1,300420.7,0
"64","ROS_O  ","Rosiaz",7,"R",2,84511.55,5066.397
"65","CDRTT_O","Coudrette",7,"R",4,82894.82,4337.1714
"66","CHLYV_O","Chailly-Village",7,"R",5,189440.77,14098.172
"67","PCHLY_O","Pont de Chailly",7,"R",6,588797.25,91783.4
"68","FAUCO_O","Fauconnières",7,"R",7,93841.66,16006.262
"69","BETHU_O","Béthusy",7,"R",8,100522.44,87429.68
"70","OURS_O ","Ours",7,"R",9,61098.09,369619.8
"71","BESS_S ","Bessières",7,"R",10,76184.516,253880
"72","SF_O   ","St-François",7,"R",11,3149.4573,455919
"73","VERRI_O","Verrière",8,"A",1,139249.44,0
"74","VIGNE_O","Vignes",8,"A",3,78366.18,3624.2954
"75","PPORT_O","Pully, port",8,"A",4,40358.055,4184.8013
"76","SOMAI_O","Somais",8,"A",5,97535.47,14840.568
"77","CNIER_O","Châtaignier",8,"A",6,40310.023,3887.4712
"78","VRNEY_O","Verney",8,"A",7,38927.016,4410.8
"79","BNIER_O","Bourdonnière",8,"A",8,22726.79,3404.316
"80","THALD_O","Tour Haldimand",8,"A",9,56593.516,9989.596
"81","DENAN_O","Denantou",8,"A",11,23465.578,2703.7231
"82","MUSEO_O","Musée Olympique",8,"A",12,41453.53,49320.938
"83","MTSI_N ","Montchoisi",8,"A",13,173718.08,40899.46
"84","JURIG_N","Jurigoz",8,"A",14,63561.562,27068.066
"85","ALPES_N","Alpes",8,"A",15,65476.93,38202.766
"86","GTE_N  ","Georgette",8,"A",16,96621.836,128906.33
"87","SF_O   ","St-François",8,"A",17,197478.05,282177.53
"88","B-AIR_N","Bel-Air",8,"A",18,402795.12,183300.62
"89","RIP_N  ","Riponne-M. Béjart",8,"A",19,452291.56,88632.38
"90","TNEL_N ","Tunnel",8,"A",20,65328.695,77334.22
"91","MEMIS_N","Mémise",8,"A",21,54029.72,92453.73
"92","GBORD_N","Grande-Borde",8,"A",22,50284.867,183976.77
"93","VMOUL_M","Vieux-Moulin",8,"A",23,31817.367,107734.58
"94","ROUVR_N","Rouvraie",8,"A",24,40496.438,99687.19
"95","MOTTE_N","Motte",8,"A",25,15914.258,74040.82
"96","FORET_N","Forêt",8,"A",26,50590.613,196461.23
"97","BELVO_N","Bellevaux",8,"A",27,36075.984,138523.5
"98","GGETT_N","Grangette",8,"A",28,5971.7056,58764.07
"99","RIONZ_N","Rionzi",8,"A",30,21586.344,78200.29
"100","MARTI_N","Martines",8,"A",31,9780.97,28797.648
"101","COTES_N","Côtes",8,"A",32,12752.155,58759.566
"102","PMONT_N","Petit-Mont",8,"A",33,14667.646,104540.56
"103","COPOP_N","Coppoz-Poste",8,"A",34,8444.456,75147.6
"104","COPOZ_N","Coppoz",8,"A",35,1433.1108,34451.473
"105","GMONT_T","Grand-Mont",8,"A",36,0,155674.38
"106","GMONT_T","Grand-Mont",8,"R",1,140052.58,0
"107","GMONT_S","Grand-Mont",8,"R",2,27597.68,1378.204
"108","COPOZ_S","Coppoz",8,"R",3,31105.592,2085.599
"109","COPOP_S","Coppoz-Poste",8,"R",4,68068.27,9907.529
"110","PMONT_S","Petit-Mont",8,"R",5,91192.2,14329.511
"111","COTES_S","Côtes",8,"R",6,62644.71,14879.458
"112","MARTI_S","Martines",8,"R",7,27542.68,9942.759
"113","RIONZ_S","Rionzi",8,"R",8,75934.42,17571.31
"114","GGETT_S","Grangette",8,"R",10,46478.57,8206.752
"115","BELVO_S","Bellevaux",8,"R",11,96331.41,21754.418
"116","FORET_S","Forêt",8,"R",12,205054.25,38419.902
"117","MOTTE_S","Motte",8,"R",13,130607.31,27500.84
"118","VMOUL_S","Vieux-Moulin",8,"R",14,115191.59,38793.9
"119","GBORD_S","Grande-Borde",8,"R",15,165004.38,34109.723
"120","MEMIS_S","Mémise",8,"R",16,85085.484,40386.613
"121","TNEL_S ","Tunnel",8,"R",17,48965.402,71543.39
"122","RIP_S  ","Riponne-M. Béjart",8,"R",18,80203.016,490241.3
"123","B-AIR_D","Bel-Air",8,"R",19,80458.45,327953.03
"124","SF_S   ","St-François",8,"R",20,260365.94,161283.72
"125","GTE_S  ","Georgette",8,"R",21,105369.47,66469.74
"126","ALPES_S","Alpes",8,"R",22,18918.77,50481.85
"127","JURIG_S","Jurigoz",8,"R",23,9870.237,73739.36
"128","MTSI_S ","Montchoisi",8,"R",24,36673.07,118793.94
"129","MUSEO_E","Musée Olympique",8,"R",25,32156.38,28830.107
"130","DENAN_E","Denantou",8,"R",26,2724.427,13830.744
"131","THALD_E","Tour Haldimand",8,"R",28,13305.528,42940.68
"132","BNIER_E","Bourdonnière",8,"R",29,2079.4172,17240.625
"133","VRNEY_E","Verney",8,"R",30,3421.393,30723.994
"134","CNIER_E","Châtaignier",8,"R",31,4718.329,36487.895
"135","SOMAI_E","Somais",8,"R",32,11760.007,64935.86
"136","PPORT_E","Pully, port",8,"R",33,2185.582,33775.125
"137","VIGNE_E","Vignes",8,"R",34,1196.4883,57031.34
"138","VERRI_E","Verrière",8,"R",36,3431.9546,60634.508
"139","VERRI_O","Verrière",8,"R",37,0,59493.26
"140","LUTRY_B","Lutry, Corniche",9,"A",1,132968.34,0
"141","VOISD_O","Voisinand",9,"A",2,230093.11,13430.666
"142","GPONT_O","Grand-Pont",9,"A",3,108156.16,8785.681
"143","MARRO_O","Marronnier",9,"A",5,74445.94,10857.936
"144","PAUDX_O","Paudex, Village",9,"A",6,80115.74,17895.102
"145","MLINS_O","Moulins",9,"A",8,127868.664,12916.775
"146","REYM_O ","Reymondin",9,"A",9,60641.555,18576.465
"147","CLERG_O","Pully, Clergère",9,"A",10,221630.88,101167.36
"148","MTILL_O","Montillier",9,"A",11,66339.28,26457.383
"149","PDETT_O","Perraudettaz",9,"A",12,275723.47,58464.195
"150","ESPER_O","Bonne-Espérance",9,"A",14,113610.17,36319.676
"151","LEMAN_O","Avenue du Léman",9,"A",15,48268.01,31206.742
"152","EGLAN_O","Eglantine",9,"A",16,113728.805,38702.29
"153","GTE_O  ","Georgette",9,"A",17,65106.98,195331.81
"154","SF_O   ","St-François",9,"A",18,311922.7,643208.2
"155","B-AIR_O","Bel-Air",9,"A",19,454277.5,276371.88
"156","CH_O   ","Chauderon",9,"A",20,344754.44,195834.38
"157","BOST_N ","Boston",9,"A",21,156676.8,77218.87
"158","SPAUL_O","St-Paul",9,"A",22,57351.797,301486.4
"159","MTETN_O","Montétan",9,"A",23,64340.36,271917.7
"160","VALCY_O","Valency",9,"A",24,14194.553,134724.88
"161","HUTIN_O","Huttins",9,"A",26,9452.076,135316.58
"162","PRY-C_O","Prilly, Centre",9,"A",27,66065.28,287885.38
"163","PEREA_O","Perréaz",9,"A",28,2808.9033,69274.445
"164","PRY_B  ","Prilly, Eglise",9,"A",29,0,233771.47
"165","PRY_B  ","Prilly, Eglise",9,"R",1,234702.1,0
"166","PEREA_E","Perréaz",9,"R",2,67518.984,3575.0815
"167","PRY-C_E","Prilly, Centre",9,"R",3,216598.6,52633.008
"168","HUTIN_E","Huttins",9,"R",4,223528.22,16681.99
"169","VALCY_E","Valency",9,"R",6,146424.97,24356.705
"170","MTETN_E","Montétan",9,"R",7,296898.47,79249.164
"171","SPAUL_E","St-Paul",9,"R",8,99162.56,44776.17
"172","BOST_S ","Boston",9,"R",9,37944.363,109307.82
"173","CH_E   ","Chauderon",9,"R",10,224198.47,234875.58
"174","B-AIR_C","Bel-Air",9,"R",11,388447.56,449971.88
"175","SF_P   ","St-François",9,"R",12,560905.3,320699.8
"176","GTE_E  ","Georgette",9,"R",13,305112.25,92494.03
"177","EGLAN_E","Eglantine",9,"R",14,38089.465,127445.07
"178","LEMAN_E","Avenue du Léman",9,"R",15,18849.17,73888.016
"179","ESPER_E","Bonne-Espérance",9,"R",16,33867.254,228452
"180","PDETT_E","Perraudettaz",9,"R",18,51115.945,218511.75
"181","MTILL_D","Montillier",9,"R",19,11895.675,105452.8
"182","CLERG_E","Pully, Clergère",9,"R",20,103745.42,207991.19
"183","REYM_E ","Reymondin",9,"R",21,13054.711,55641.9
"184","MLINS_E","Moulins",9,"R",22,11181.896,123366.2
"185","PAUDX_E","Paudex, Village",9,"R",24,16154.715,57467.63
"186","MARRO_E","Marronnier",9,"R",25,7992.4277,77518.25
"187","GPONT_E","Grand-Pont",9,"R",27,6027.4067,115377.7
"188","VOISD_E","Voisinand",9,"R",28,8369.196,157932.31
"189","RIVE_E ","Rive",9,"R",29,2670.5632,49108.676
"190","LUTRY_B","Lutry, Corniche",9,"R",30,0,104020.11
