"passengers","mean_error","sd_error","line"
200,0.288594743629759,0.0375090296455442,2
400,0.217793814530581,0.0227403582693605,2
600,0.163532135144281,0.0226732675999734,2
800,0.171993154837952,0.0144231246421392,2
1000,0.138552900462157,0.0106862664146408,2
1200,0.148706909818265,0.0225299958782321,2
1400,0.125707965358946,0.014644782699832,2
1600,0.104728630150525,0.0100616131719358,2
1800,0.0933611878840857,0.0161374230130419,2
2000,0.0968992592860032,0.0112271895351236,2
2200,0.113476283563602,0.0127579218362633,2
2400,0.0960177086958018,0.0118086598264261,2
2600,0.0893070847583515,0.0125272583703154,2
2800,0.0886617997536567,0.0102845006294301,2
3000,0.081545688396583,0.00865797141606714,2
3200,0.0804561119539565,0.00717724211218523,2
3400,0.0814809273211034,0.00951074123314235,2
3600,0.0713114673145784,0.00707306514684401,2
3800,0.0764837257850552,0.0082519533740829,2
4000,0.0797002485475756,0.00715408938507379,2
200,0.554452920244492,0.0217602337043659,3
400,0.41323259171565,0.0157537511542142,3
600,0.35806638598721,0.0121984576444665,3
800,0.324063807206175,0.0119498956616649,3
1000,0.305056616746191,0.00949052647539638,3
1200,0.291585526392106,0.0101346354790003,3
1400,0.280754501623806,0.00971363839651838,3
1600,0.272877145326526,0.00904942346670927,3
1800,0.264463463802991,0.00819296209171418,3
2000,0.258994869700306,0.00787522413970102,3
2200,0.253177813816468,0.00800854855667596,3
2400,0.259814073814443,0.00865220069225829,3
2600,0.25475283014923,0.00814301164463842,3
2800,0.247300294190253,0.0106923127926559,3
3000,0.246564917462412,0.00951290654590377,3
3200,0.251662179262658,0.00529291202966641,3
3400,0.254688727340264,0.00896267879557407,3
3600,0.252005131961188,0.00694572957496141,3
3800,0.235039176599131,0.00787893517553432,3
4000,0.240059660974183,0.00796244643206827,3
200,0.918653877665989,0.030847073746717,4
400,0.655367808159533,0.0214924298349743,4
600,0.553670141665824,0.0187840479565119,4
800,0.490485040101505,0.0156303078071655,4
1000,0.453478501323486,0.0145182727426736,4
1200,0.42816493285826,0.0126174493845988,4
1400,0.40755736990958,0.0109277507876976,4
1600,0.388970155272599,0.0123308614071192,4
1800,0.376490169408073,0.0111039424076301,4
2000,0.366195261658708,0.0104803780653542,4
2200,0.353596406158701,0.0101315581938822,4
2400,0.347787642230233,0.00947417618191383,4
2600,0.341714320143384,0.00961614554312861,4
2800,0.334961771963018,0.00857619017323066,4
3000,0.329542854947207,0.00838650319223151,4
3200,0.325519587210825,0.00813332071753004,4
3400,0.32136491815026,0.00757018324245145,4
3600,0.318183131405626,0.00785105502969093,4
3800,0.31456252474885,0.00762051775034692,4
4000,0.310479758116824,0.0074435507430425,4
200,1.30597950235765,0.0147678709950705,5
400,1.0062504575677,0.0124364184206879,5
600,0.84540462915246,0.0153384182157492,5
800,0.738554396761776,0.0137797360808274,5
1000,0.677669024190866,0.0114740197730572,5
1200,0.62541157320736,0.0139649087460471,5
1400,0.593931988627288,0.00956788428853174,5
1600,0.561059832874467,0.0117473231688432,5
1800,0.538230002092288,0.0114026557238677,5
2000,0.514915821856442,0.0094763592555647,5
2200,0.502285781786522,0.00980490983661745,5
2400,0.487559008869902,0.00984983093709641,5
2600,0.474478602228607,0.00983639872649335,5
2800,0.462423446584049,0.0101386100585677,5
3000,0.454304989571838,0.00854926079957019,5
3200,0.445318649840547,0.00958288610871221,5
3400,0.436009294081245,0.00906930763988425,5
3600,0.429761260435848,0.00877063953815777,5
3800,0.421965127277758,0.00836799413773924,5
4000,0.417830972671932,0.008533623951842,5
200,1.56889421435582,0.0193223575225502,6
400,1.30752329883664,0.00995614057948765,6
600,1.12414404986862,0.00854151984344795,6
800,1.00766231204314,0.00979750976343849,6
1000,0.905334849014812,0.00912287262859631,6
1200,0.836320182485907,0.00942717448718868,6
1400,0.779919571354523,0.00842278904663156,6
1600,0.739780422801687,0.0076437032716055,6
1800,0.704761613259527,0.00890869756392827,6
2000,0.676817482864028,0.00775341450630374,6
2200,0.654020617788406,0.00804270627358946,6
2400,0.633093050886509,0.0063815968796571,6
2600,0.609682053286259,0.00646470028675325,6
2800,0.593546959908351,0.00768808610628207,6
3000,0.585211964256251,0.00710366617290855,6
3200,0.57182960881782,0.00638741509141231,6
3400,0.555552511181797,0.00654330696994839,6
3600,0.542182883228752,0.00619926934746526,6
3800,0.534822093046158,0.00621155548740246,6
4000,0.528018437921459,0.00619647768046047,6
200,1.73845155818238,0.0198661500296613,7
400,1.54056856884344,0.00917433573310661,7
600,1.38510678564327,0.00936579234781216,7
800,1.25955553028439,0.00661701471566121,7
1000,1.16106230385725,0.00884443517351689,7
1200,1.08265585925642,0.011538180436329,7
1400,1.00811947469913,0.00782260827756832,7
1600,0.948266774200328,0.00548135291120447,7
1800,0.895328016568744,0.00553641066323412,7
2000,0.854043619898246,0.0048243143863051,7
2200,0.821773202135435,0.00605655478885641,7
2400,0.79126042620425,0.00601807464828437,7
2600,0.765391322982328,0.00584389552475298,7
2800,0.744350135873422,0.00525574988473084,7
3000,0.726915240876508,0.00583105176913144,7
3200,0.706554298778489,0.00564942783997286,7
3400,0.690240584219763,0.00549561607531795,7
3600,0.677795519398861,0.00562910634420397,7
3800,0.663137925955722,0.0048608076678122,7
4000,0.651668313597504,0.00380815866059681,7
200,1.83856279824837,0.0134457145894206,8
400,1.7114024487809,0.00656291858169248,8
600,1.59707441468028,0.00593186911298733,8
800,1.49600448010047,0.00487145401903997,8
1000,1.40656520460634,0.00455298991435307,8
1200,1.32071141858821,0.00686164969176865,8
1400,1.2493003515889,0.00676957460226393,8
1600,1.1885920149115,0.00624919132619153,8
1800,1.13190435882428,0.00564134631420757,8
2000,1.08288695734316,0.00653704895373643,8
2200,1.03986107719651,0.00653794952845363,8
2400,1.0021998280404,0.00822797490442051,8
2600,0.970254926409223,0.00740839811036591,8
2800,0.938680870712985,0.00762232333187253,8
3000,0.911818575507152,0.00680905836808665,8
3200,0.887872097808327,0.00642445149948937,8
3400,0.864580801318019,0.00591772945530366,8
3600,0.845315171016018,0.00552403451805029,8
3800,0.827975127780247,0.006606541429865,8
4000,0.810170870100005,0.00546835850500822,8
