"id_i","tag_i","stop_i","line_i","direction_i","id_j","tag_j","stop_j","line_j","direction_j","number_of_transfers"
1212,"S72_R_CFF","Lausanne-Gare",72,"R",10,"S1_A_GARE_N","Lausanne-Gare",1,"A",681173.398324668
10,"S1_A_GARE_N","Lausanne-Gare",1,"A",1193,"S72_A_CFF","Lausanne-Gare",72,"A",533341.256806974
1212,"S72_R_CFF","Lausanne-Gare",72,"R",37,"S1_R_GARE_S","Lausanne-Gare",1,"R",428268.311723199
1197,"S72_A_OUR","Ours",72,"A",225,"S7_A_OURS_E","Ours",7,"A",385371.623470541
37,"S1_R_GARE_S","Lausanne-Gare",1,"R",1193,"S72_A_CFF","Lausanne-Gare",72,"A",300424.818543424
642,"S25_A_DLICE_E","Délices",25,"A",1191,"S72_A_DEL","Délices",72,"A",299790.740126721
602,"S22_R_FLON_S","Lausanne-Flon",22,"R",480,"S18_A_FLON_O","Lausanne-Flon",18,"A",251475.652118074
517,"S18_R_FLON_O","Lausanne-Flon",18,"R",574,"S22_A_FLON_N","Lausanne-Flon",22,"A",221677.465540454
1214,"S72_R_DEL","Délices",72,"R",660,"S25_R_DLICE_O","Délices",25,"R",203695.195507564
660,"S25_R_DLICE_O","Délices",25,"R",1191,"S72_A_DEL","Délices",72,"A",173441.708639144
1202,"S72_A_CRO","Croisettes",72,"A",1026,"S64_A_CROIS_A","Epalinges, Croisettes",64,"A",171634.73035686
14,"S1_A_B-AIR_N","Bel-Air",1,"A",248,"S8_A_B-AIR_N","Bel-Air",8,"A",167415.759588573
543,"S19_R_CH_N","Chauderon",19,"R",118,"S3_R_PT-CH_S","Pont Chauderon",3,"R",140497.662894329
1214,"S72_R_DEL","Délices",72,"R",642,"S25_A_DLICE_E","Délices",25,"A",137789.310645971
1202,"S72_A_CRO","Croisettes",72,"A",974,"S62_A_CROIS_B","Epalinges, Croisettes",62,"A",134868.72224989
66,"S2_A_BERG_O","Bergières",2,"A",554,"S21_A_BERG_O","Bergières",21,"A",133021.519976405
1196,"S72_A_BES","Bessières",72,"A",173,"S6_A_BESS_N","Bessières",6,"A",130818.471192845
33,"S1_R_B-AIR_D","Bel-Air",1,"R",435,"S17_A_B-AIR_O","Bel-Air",17,"A",128271.705542821
1048,"S64_R_CROIS_A","Epalinges, Croisettes",64,"R",1203,"S72_R_CRO","Croisettes",72,"R",127062.701995674
283,"S8_R_B-AIR_D","Bel-Air",8,"R",435,"S17_A_B-AIR_O","Bel-Air",17,"A",126737.828924467
174,"S6_A_OURS_E","Ours",6,"A",1197,"S72_A_OUR","Ours",72,"A",126292.591673118
334,"S9_R_B-AIR_C","Bel-Air",9,"R",14,"S1_A_B-AIR_N","Bel-Air",1,"A",123286.193039506
476,"S17_R_B-AIR_C","Bel-Air",17,"R",14,"S1_A_B-AIR_N","Bel-Air",1,"A",121938.295984452
1216,"S72_R_OUC","Ouchy-Olympique",72,"R",92,"S2_R_OUCHY_O","Ouchy-Olympique",2,"R",121512.665066714
34,"S1_R_SF_S","St-François",1,"R",172,"S6_A_SF_P","St-François",6,"A",121397.182638308
1208,"S72_R_OUR","Ours",72,"R",174,"S6_A_OURS_E","Ours",6,"A",116332.316061245
1025,"S62_R_CROIS_B","Epalinges, Croisettes",62,"R",1203,"S72_R_CRO","Croisettes",72,"R",115130.218999046
1209,"S72_R_BES","Bessières",72,"R",576,"S22_A_BESS_M","Bessières",22,"A",115113.459532301
100,"S3_A_CECIL_N","Cécil",3,"A",1175,"S70_R_VIGIE_R","Vigie",70,"R",108034.769315901
220,"S7_A_SF_O","St-François",7,"A",434,"S17_A_SF_O","St-François",17,"A",107520.16383442
218,"S7_R_OURS_O","Ours",7,"A",1197,"S72_A_OUR","Ours",72,"A",106841.594893162
13,"S1_A_SF_O","St-François",1,"A",314,"S9_A_SF_O","St-François",9,"A",105789.030602556
548,"S21_A_CECIL_N","Cécil",21,"A",1175,"S70_R_VIGIE_R","Vigie",70,"R",99713.941238716
19,"S1_A_CAS_W","Casernes",1,"A",114,"S3_R_CAS_S","Casernes",3,"R",99054.5033721505
613,"S24_A_OUCHY_E","Ouchy-Olympique",24,"A",1189,"S72_A_OUC","Ouchy-Olympique",72,"A",91862.2509582506
1092,"S65_R_SALA_Z","Sallaz",65,"R",191,"S6_R_SALA_B","Sallaz",6,"R",90974.0761438553
23,"S1_A_BLECH_E","Blécherette",1,"A",560,"S21_R_BLECH_N","Blécherette",21,"R",90924.0557568747
44,"S1_R_MTOIE_O","Montoie",1,"R",163,"S6_A_MTOIE_E","Montoie",6,"A",89586.8262005907
132,"S4_A_SF_O","St-François",4,"A",247,"S8_A_SF_O","St-François",8,"A",89256.6771839124
559,"S21_A_BLECH_N","Blécherette",21,"A",24,"S1_R_BLECH_E","Blécherette",1,"R",88765.5085445309
150,"S4_R_ALE_O","Chauderon-Ale",4,"R",518,"S19_A_CH_B","Chauderon",19,"A",87833.3910305063
1208,"S72_R_OUR","Ours",72,"R",225,"S7_A_OURS_E","Ours",7,"A",87086.2351836895
13,"S1_A_SF_O","St-François",1,"A",434,"S17_A_SF_O","St-François",17,"A",86828.6925843307
645,"S25_A_MTSI_E","Montchoisi",25,"A",128,"S4_A_MTSI_N","Montchoisi",4,"A",85961.5848122486
475,"S17_R_CH_E","Chauderon",17,"R",170,"S6_A_CH_E","Chauderon",6,"A",85069.6464877819
180,"S6_A_SALA_A","Sallaz",6,"A",1049,"S65_A_SALA_Z","Sallaz",65,"A",84770.8922819913
476,"S17_R_B-AIR_C","Bel-Air",17,"R",151,"S4_R_B-AIR_C","Bel-Air",4,"R",83671.0848644123
247,"S8_A_SF_O","St-François",8,"A",434,"S17_A_SF_O","St-François",17,"A",82023.1712997741
12,"S1_A_GTE_N","Georgette",1,"A",336,"S9_R_GTE_E","Georgette",9,"R",78059.7054874611
316,"S9_A_CH_O","Chauderon",9,"A",424,"S16_R_CH_O","Chauderon",16,"R",77922.6394766682
247,"S8_A_SF_O","St-François",8,"A",314,"S9_A_SF_O","St-François",9,"A",77798.3509388186
542,"S19_R_BOST_E","Boston",19,"R",317,"S9_A_BOST_N","Boston",9,"A",77674.243411408
1196,"S72_A_BES","Bessières",72,"A",576,"S22_A_BESS_M","Bessières",22,"A",77593.1180109316
201,"S6_R_CH_O","Chauderon",6,"R",436,"S17_A_CH_O","Chauderon",17,"A",75065.7479797684
170,"S6_A_CH_E","Chauderon",6,"A",518,"S19_A_CH_B","Chauderon",19,"A",74852.8364012535
203,"S6_R_CECIL_S","Cécil",6,"R",1175,"S70_R_VIGIE_R","Vigie",70,"R",73839.4875448735
673,"S25_R_RCFFS_O","Renens-Gare sud",25,"R",803,"S33_R_RCFFS_O","Renens-Gare sud",33,"R",72387.7474093197
342,"S9_R_CLERG_E","Pully, Clergère",9,"R",905,"S47_A_CLERG_N","Pully, Clergère",47,"A",72208.0116956061
169,"S6_A_CECIL_N","Cécil",6,"A",1175,"S70_R_VIGIE_R","Vigie",70,"R",72125.6094999122
447,"S17_A_R-14A_O","Renens-14 Avril",17,"A",531,"S19_R_R-14A_E","Renens-14 Avril",19,"R",71623.1544305192
600,"S22_R_BESS_D","Bessières",22,"R",1209,"S72_R_BES","Bessières",72,"R",71360.0711073171
119,"S3_R_CECIL_S","Cécil",3,"R",1175,"S70_R_VIGIE_R","Vigie",70,"R",70757.943000449
390,"S16_A_CH_E","Chauderon",16,"A",333,"S9_R_CH_E","Chauderon",9,"R",69932.2202228386
217,"S7_R_BETHU_O","Béthusy",7,"A",196,"S6_R_BETHU_O","Béthusy",6,"R",68463.0156353263
571,"S21_R_CECIL_S","Cécil",21,"R",1175,"S70_R_VIGIE_R","Vigie",70,"R",67842.5436618308
543,"S19_R_CH_N","Chauderon",19,"R",570,"S21_R_PT-CH_S","Pont Chauderon",21,"R",66418.307180523
477,"S17_R_SF_P","St-François",17,"R",360,"S12_R_SF_P","St-François",12,"R",65438.9978206519
929,"S47_R_PLY-G_E","Pully, gare",47,"R",122,"S4_A_PLY-G_1","Pully, gare",4,"A",65363.3416241433
314,"S9_A_SF_O","St-François",9,"A",220,"S7_A_SF_O","St-François",7,"A",64585.9362650091
172,"S6_A_SF_P","St-François",6,"A",335,"S9_R_SF_P","St-François",9,"R",64457.0661604052
440,"S17_A_PZROS_O","Prélaz-les-Roses",17,"A",511,"S18_R_PZROS_E","Prélaz-les-Roses",18,"R",63957.9616122183
58,"S2_A_SF_O","St-François",2,"A",434,"S17_A_SF_O","St-François",17,"A",63920.0802982677
232,"S7_A_VVERT_T","Pully, Val-Vert",7,"A",923,"S47_R_VVERT_P","Pully, Val-Vert",47,"R",62612.8524282811
335,"S9_R_SF_P","St-François",9,"R",392,"S16_A_SF_P","St-François",16,"A",62169.3170916914
197,"S6_R_OURS_O","Ours",6,"R",1197,"S72_A_OUR","Ours",72,"A",61793.3013922981
474,"S17_R_BOST_E","Boston",17,"R",317,"S9_A_BOST_N","Boston",9,"A",60514.967065234
283,"S8_R_B-AIR_D","Bel-Air",8,"R",133,"S4_A_B-AIR_O","Bel-Air",4,"A",59276.8844287563
855,"S42_R_SALA_D","Sallaz",42,"R",191,"S6_R_SALA_B","Sallaz",6,"R",58745.1055364446
910,"S47_A_VVERT_B","Pully, Val-Vert",47,"A",211,"S7_R_VVERT_T","Pully, Val-Vert",7,"A",58442.2387952666
256,"S8_A_FORET_N","Forêt",8,"A",584,"S22_A_FORET_N","Forêt",22,"A",58136.3468722041
152,"S4_R_SF_S","St-François",4,"R",172,"S6_A_SF_P","St-François",6,"A",58010.4898952502
149,"S4_R_SROCH_E","St-Roch",4,"R",117,"S3_R_SROCH_S","St-Roch",3,"R",57313.9160923257
317,"S9_A_BOST_N","Boston",9,"A",437,"S17_A_BOST_O","Boston",17,"A",56859.6923483756
923,"S47_R_VVERT_P","Pully, Val-Vert",47,"R",211,"S7_R_VVERT_T","Pully, Val-Vert",7,"A",56686.487263541
209,"S6_R_MTOIE_O","Montoie",6,"R",2,"S1_A_MTOIE_E","Montoie",1,"A",55677.8284822076
59,"S2_A_B-AIR_N","Bel-Air",2,"A",248,"S8_A_B-AIR_N","Bel-Air",8,"A",55325.0824694687
1208,"S72_R_OUR","Ours",72,"R",218,"S7_R_OURS_O","Ours",7,"A",54968.7307929045
334,"S9_R_B-AIR_C","Bel-Air",9,"R",248,"S8_A_B-AIR_N","Bel-Air",8,"A",54566.593924513
219,"S7_R_BESS_S","Bessières",7,"A",1209,"S72_R_BES","Bessières",72,"R",54439.299188057
673,"S25_R_RCFFS_O","Renens-Gare sud",25,"R",694,"S31_R_RCFFS_O","Renens-Gare sud",31,"R",54200.5908750124
1216,"S72_R_OUC","Ouchy-Olympique",72,"R",50,"S2_A_OUCHY_E","Ouchy-Olympique",2,"A",54054.3602130249
173,"S6_A_BESS_N","Bessières",6,"A",1209,"S72_R_BES","Bessières",72,"R",53894.3196030637
283,"S8_R_B-AIR_D","Bel-Air",8,"R",315,"S9_A_B-AIR_O","Bel-Air",9,"A",53688.2420045497
151,"S4_R_B-AIR_C","Bel-Air",4,"R",14,"S1_A_B-AIR_N","Bel-Air",1,"A",52439.6184447547
1208,"S72_R_OUR","Ours",72,"R",197,"S6_R_OURS_O","Ours",6,"R",52420.8143637322
33,"S1_R_B-AIR_D","Bel-Air",1,"R",315,"S9_A_B-AIR_O","Bel-Air",9,"A",51711.8662363143
232,"S7_A_VVERT_T","Pully, Val-Vert",7,"A",910,"S47_A_VVERT_B","Pully, Val-Vert",47,"A",51638.7514006873
324,"S9_A_PRY_B","Prilly, Eglise",9,"A",831,"S38_R_PRY_D","Prilly, Eglise",38,"R",51502.722013568
928,"S47_R_CLERG_O","Pully, Clergère",47,"R",307,"S9_A_CLERG_O","Pully, Clergère",9,"A",51495.1594725074
33,"S1_R_B-AIR_D","Bel-Air",1,"R",133,"S4_A_B-AIR_O","Bel-Air",4,"A",51360.8324098641
107,"S3_A_MOTTE_N","Motte",3,"A",277,"S8_R_MOTTE_S","Motte",8,"R",50879.5748392919
223,"S7_A_TNEL_E","Tunnel",7,"A",578,"S22_A_TNEL_N","Tunnel",22,"A",50845.1310888638
673,"S25_R_RCFFS_O","Renens-Gare sud",25,"R",722,"S32_A_RCFFS_E","Renens-Gare sud",32,"A",50145.7226756178
1196,"S72_A_BES","Bessières",72,"A",198,"S6_R_BESS_S","Bessières",6,"R",49271.1807265681
313,"S9_A_GTE_O","Georgette",9,"A",131,"S4_A_GTE_N","Georgette",4,"A",49121.6835214861
830,"S38_A_PRY_D","Prilly, Eglise",38,"A",325,"S9_R_PRY_B","Prilly, Eglise",9,"R",49003.3008607003
12,"S1_A_GTE_N","Georgette",1,"A",285,"S8_R_GTE_S","Georgette",8,"R",48688.5713772767
220,"S7_A_SF_O","St-François",7,"A",58,"S2_A_SF_O","St-François",2,"A",47987.5425623236
180,"S6_A_SALA_A","Sallaz",6,"A",840,"S42_A_SALA_D","Sallaz",42,"A",47641.1681564128
1193,"S72_A_CFF","Lausanne-Gare",72,"A",10,"S1_A_GARE_N","Lausanne-Gare",1,"A",47621.266828153
485,"S18_A_PZROS_O","Prélaz-les-Roses",18,"A",471,"S17_R_PZROS_E","Prélaz-les-Roses",17,"R",47535.8265530292
788,"S33_A_CDRAI_S","Coudraie",33,"A",143,"S4_R_CDRAI_B","Coudraie",4,"R",46177.1674711368
13,"S1_A_SF_O","St-François",1,"A",132,"S4_A_SF_O","St-François",4,"A",45536.4578497919
543,"S19_R_CH_N","Chauderon",19,"R",101,"S3_A_CH_N","Chauderon",3,"A",45349.796932869
334,"S9_R_B-AIR_C","Bel-Air",9,"R",59,"S2_A_B-AIR_N","Bel-Air",2,"A",45180.9748534747
228,"S7_A_PCHLY_E","Pont de Chailly",7,"A",843,"S42_A_PCHLY_P","Pont de Chailly",42,"A",44595.6044224231
156,"S4_R_MTSI_E","Montchoisi",4,"R",657,"S25_R_MTSI_S","Montchoisi",25,"R",44463.9831360665
333,"S9_R_CH_E","Chauderon",9,"R",170,"S6_A_CH_E","Chauderon",6,"A",44252.5075951419
1168,"S70_A_BNETT_F","Bourdonnette",70,"A",604,"S24_A_BNETT_B","Bourdonnette",24,"A",44178.9831159177
199,"S6_R_SF_O","St-François",6,"R",132,"S4_A_SF_O","St-François",4,"A",43704.8625518588
475,"S17_R_CH_E","Chauderon",17,"R",390,"S16_A_CH_E","Chauderon",16,"A",43560.8330936613
12,"S1_A_GTE_N","Georgette",1,"A",153,"S4_R_GTE_S","Georgette",4,"R",43154.082864272
220,"S7_A_SF_O","St-François",7,"A",13,"S1_A_SF_O","St-François",1,"A",43094.569694392
334,"S9_R_B-AIR_C","Bel-Air",9,"R",151,"S4_R_B-AIR_C","Bel-Air",4,"R",42862.0648990905
314,"S9_A_SF_O","St-François",9,"A",199,"S6_R_SF_O","St-François",6,"R",42521.6626625879
247,"S8_A_SF_O","St-François",8,"A",220,"S7_A_SF_O","St-François",7,"A",41586.3617737679
171,"S6_A_B-AIR_C","Bel-Air",6,"A",14,"S1_A_B-AIR_N","Bel-Air",1,"A",41424.9062791003
103,"S3_A_BLIJO_M","Beaulieu-Jomini",3,"A",551,"S21_A_BLIJO_O","Beaulieu-Jomini",21,"A",41015.4621456894
19,"S1_A_CAS_W","Casernes",1,"A",105,"S3_A_CAS_N","Casernes",3,"A",40720.2510454518
134,"S4_A_CH_O","Chauderon",4,"A",519,"S19_A_CH_O","Chauderon",19,"A",40536.5360836145
332,"S9_R_BOST_S","Boston",9,"R",520,"S19_A_BOST_O","Boston",19,"A",40440.3498887968
220,"S7_A_SF_O","St-François",7,"A",284,"S8_R_SF_S","St-François",8,"R",40262.3590669634
220,"S7_A_SF_O","St-François",7,"A",132,"S4_A_SF_O","St-François",4,"A",40140.8050525281
58,"S2_A_SF_O","St-François",2,"A",314,"S9_A_SF_O","St-François",9,"A",40035.8851392357
776,"S33_A_RCFFS_E","Renens-Gare sud",33,"A",629,"S25_A_RCFFS_E","Renens-Gare sud",25,"A",39309.7551780669
1025,"S62_R_CROIS_B","Epalinges, Croisettes",62,"R",878,"S45_R_CROIS_D","Epalinges, Croisettes",45,"R",39158.6864372244
141,"S4_A_CDRAI_N","Coudraie",4,"A",791,"S33_R_CDRAI_O","Coudraie",33,"R",38865.1208415114
50,"S2_A_OUCHY_E","Ouchy-Olympique",2,"A",1189,"S72_A_OUC","Ouchy-Olympique",72,"A",38858.8202743803
285,"S8_R_GTE_S","Georgette",8,"R",336,"S9_R_GTE_E","Georgette",9,"R",38602.2074786917
247,"S8_A_SF_O","St-François",8,"A",199,"S6_R_SF_O","St-François",6,"R",38100.6371850969
313,"S9_A_GTE_O","Georgette",9,"A",246,"S8_A_GTE_N","Georgette",8,"A",37988.54046092
537,"S19_R_PERRL_E","Perrelet",19,"R",509,"S18_R_PERRL_E","Perrelet",18,"R",37768.5062649766
487,"S18_A_PERRL_N","Perrelet",18,"A",525,"S19_A_PERRL_O","Perrelet",19,"A",37581.2835524267
485,"S18_A_PZROS_O","Prélaz-les-Roses",18,"A",440,"S17_A_PZROS_O","Prélaz-les-Roses",17,"A",37562.1514025017
77,"S2_R_BERG_E","Bergières",2,"R",554,"S21_A_BERG_O","Bergières",21,"A",37190.8041341553
16,"S1_A_VAL_N","Valentin",1,"A",61,"S2_A_VAL_N","Valentin",2,"A",37144.052382599
476,"S17_R_B-AIR_C","Bel-Air",17,"R",59,"S2_A_B-AIR_N","Bel-Air",2,"A",37032.5656749792
476,"S17_R_B-AIR_C","Bel-Air",17,"R",283,"S8_R_B-AIR_D","Bel-Air",8,"R",36923.2953300683
476,"S17_R_B-AIR_C","Bel-Air",17,"R",248,"S8_A_B-AIR_N","Bel-Air",8,"A",36596.4019198416
220,"S7_A_SF_O","St-François",7,"A",34,"S1_R_SF_S","St-François",1,"R",36329.8114783546
1216,"S72_R_OUC","Ouchy-Olympique",72,"R",618,"S24_R_OUCHY_O","Ouchy-Olympique",24,"R",36279.3612432271
225,"S7_A_OURS_E","Ours",7,"A",1197,"S72_A_OUR","Ours",72,"A",36182.1247381126
175,"S6_A_BETHU_N","Béthusy",6,"A",226,"S7_A_BETHU_E","Béthusy",7,"A",36050.8772456105
246,"S8_A_GTE_N","Georgette",8,"A",12,"S1_A_GTE_N","Georgette",1,"A",35981.672778607
134,"S4_A_CH_O","Chauderon",4,"A",436,"S17_A_CH_O","Chauderon",17,"A",35543.704051295
35,"S1_R_GTE_D","Georgette",1,"R",336,"S9_R_GTE_E","Georgette",9,"R",35239.2270840522
332,"S9_R_BOST_S","Boston",9,"R",437,"S17_A_BOST_O","Boston",17,"A",34246.9981731172
243,"S8_A_MTSI_N","Montchoisi",8,"A",128,"S4_A_MTSI_N","Montchoisi",4,"A",34212.9021193194
783,"S33_A_GALIC_N","Galicien",33,"A",712,"S32_A_GALIC_M","Galicien",32,"A",34107.5454225515
442,"S17_A_PERRL_O","Perrelet",17,"A",487,"S18_A_PERRL_N","Perrelet",18,"A",34071.0551746276
242,"S8_A_MUSEO_O","Musée Olympique",8,"A",658,"S25_R_MUSEO_S","Musée Olympique",25,"R",33678.1608524379
199,"S6_R_SF_O","St-François",6,"R",34,"S1_R_SF_S","St-François",1,"R",33136.5839430368
796,"S33_R_GALIC_M","Galicien",33,"R",712,"S32_A_GALIC_M","Galicien",32,"A",32855.6465589609
392,"S16_A_SF_P","St-François",16,"A",360,"S12_R_SF_P","St-François",12,"R",32644.3531132884
172,"S6_A_SF_P","St-François",6,"A",284,"S8_R_SF_S","St-François",8,"R",32599.0137528513
220,"S7_A_SF_O","St-François",7,"A",314,"S9_A_SF_O","St-François",9,"A",32278.8465757367
12,"S1_A_GTE_N","Georgette",1,"A",86,"S2_R_GTE_D","Georgette",2,"R",31435.560043305
672,"S25_R_CENSU_O","Censuy",25,"R",777,"S33_A_CENSU_E","Censuy",33,"A",31409.5448011475
43,"S1_R_BATEL_O","Batelière",1,"R",664,"S25_R_BATEL_O","Batelière",25,"R",31408.1203418605
59,"S2_A_B-AIR_N","Bel-Air",2,"A",221,"S7_A_B-AIR_N","Bel-Air",7,"A",30742.0079249637
490,"S18_A_BDESS_M","Bourg-Dessus",18,"A",832,"S38_R_BDESS_S","Bourg-Dessus",38,"R",30647.1252011271
255,"S8_A_MOTTE_N","Motte",8,"A",112,"S3_R_MOTTE_S","Motte",3,"R",30635.3861786497
57,"S2_A_GTE_N","Georgette",2,"A",336,"S9_R_GTE_E","Georgette",9,"R",30602.2577585736
228,"S7_A_PCHLY_E","Pont de Chailly",7,"A",852,"S42_R_PCHLY_B","Pont de Chailly",42,"R",30597.8072109083
40,"S1_R_BGARD_S","Beauregard",1,"R",641,"S25_A_BGARD_E","Beauregard",25,"A",30579.7650149885
61,"S2_A_VAL_N","Valentin",2,"A",31,"S1_R_VAL_S","Valentin",1,"R",30497.2998140496
105,"S3_A_CAS_N","Casernes",3,"A",19,"S1_A_CAS_W","Casernes",1,"A",30158.1866449771
80,"S2_R_BLIJO_E","Beaulieu-Jomini",2,"R",116,"S3_R_BLIJO_D","Beaulieu-Jomini",3,"R",29903.475185807
1165,"S70_A_SORGE_F","UNIL-Sorge",70,"A",702,"S31_R_SORGE_O","UNIL-Sorge",31,"R",29708.2925816701
476,"S17_R_B-AIR_C","Bel-Air",17,"R",33,"S1_R_B-AIR_D","Bel-Air",1,"R",29536.1588113944
198,"S6_R_BESS_S","Bessières",6,"R",1209,"S72_R_BES","Bessières",72,"R",29392.2749347237
523,"S19_A_PZROS_O","Prélaz-les-Roses",19,"A",485,"S18_A_PZROS_O","Prélaz-les-Roses",18,"A",29391.4008439518
657,"S25_R_MTSI_S","Montchoisi",25,"R",243,"S8_A_MTSI_N","Montchoisi",8,"A",29209.522218825
883,"S46_A_CROIS_C","Epalinges, Croisettes",46,"A",974,"S62_A_CROIS_B","Epalinges, Croisettes",62,"A",28924.0262255447
215,"S7_R_PCHLY_O","Pont de Chailly",7,"A",852,"S42_R_PCHLY_B","Pont de Chailly",42,"R",28738.5819661575
313,"S9_A_GTE_O","Georgette",9,"A",12,"S1_A_GTE_N","Georgette",1,"A",28570.2485899257
132,"S4_A_SF_O","St-François",4,"A",220,"S7_A_SF_O","St-François",7,"A",28483.2275096041
509,"S18_R_PERRL_E","Perrelet",18,"R",469,"S17_R_PERRL_E","Perrelet",17,"R",28466.8024755676
156,"S4_R_MTSI_E","Montchoisi",4,"R",288,"S8_R_MTSI_S","Montchoisi",8,"R",28447.5512605179
58,"S2_A_SF_O","St-François",2,"A",132,"S4_A_SF_O","St-François",4,"A",28331.3269623432
595,"S22_R_VMOUL_S","Vieux-Moulin",22,"R",416,"S16_R_VMOUL_S","Vieux-Moulin",16,"R",28131.8717530127
220,"S7_A_SF_O","St-François",7,"A",422,"S16_R_SF_O","St-François",16,"R",28127.8894421142
954,"S49_R_CLERG_O","Pully, Clergère",49,"R",307,"S9_A_CLERG_O","Pully, Clergère",9,"A",27984.623019285
246,"S8_A_GTE_N","Georgette",8,"A",35,"S1_R_GTE_D","Georgette",1,"R",27838.1357176803
153,"S4_R_GTE_S","Georgette",4,"R",336,"S9_R_GTE_E","Georgette",9,"R",27796.0094230702
356,"S12_A_GTE_O","Georgette",12,"A",433,"S17_A_GTE_N","Georgette",17,"A",27739.1138048008
829,"S38_A_BDESS_N","Bourg-Dessus",38,"A",506,"S18_R_BDESS_D","Bourg-Dessus",18,"R",27735.1596705492
201,"S6_R_CH_O","Chauderon",6,"R",316,"S9_A_CH_O","Chauderon",9,"A",27319.4807766094
511,"S18_R_PZROS_E","Prélaz-les-Roses",18,"R",539,"S19_R_PZROS_E","Prélaz-les-Roses",19,"R",27198.9730811464
464,"S17_R_RCFFN_E","Renens-Gare nord",17,"R",724,"S32_A_RCFFN_N","Renens-Gare nord",32,"A",26764.44440684
12,"S1_A_GTE_N","Georgette",1,"A",361,"S12_R_GTE_E","Georgette",12,"R",26697.2298613158
