"Lines","mean_error","sd_error","param"
2,0.39705872922926,0.0628656742726984,0.001
3,0.41133757235763,0.0149716488800503,0.001
4,0.391530157878278,0.0136776122735196,0.001
5,0.399533646817937,0.00928551985455435,0.001
6,0.392080537962987,0.00598865637699684,0.001
7,0.380936449025921,0.00297158294450647,0.001
8,0.37750013912201,0.00277282470980711,0.001
2,0.396927351090844,0.0628847421329901,0.002
3,0.411138722385255,0.0149762808961215,0.002
4,0.391372546036563,0.0136644813644096,0.002
5,0.399412975507509,0.00926980483324306,0.002
6,0.391955796835695,0.00599118048924999,0.002
7,0.380846585322699,0.00297568661132317,0.002
8,0.377466869906889,0.00277970467694047,0.002
2,0.396796009084194,0.0629038280628821,0.003
3,0.410946076627445,0.0149803675429752,0.003
4,0.391212703852509,0.0136521630249609,0.003
5,0.399291520153322,0.00925197483337895,0.003
6,0.391831798934073,0.00599347921866348,0.003
7,0.380759023024925,0.00297922690699339,0.003
8,0.37743479224308,0.00278670727632478,0.003
2,0.396664706620526,0.0629229313570942,0.004
3,0.410758260749127,0.0149813217956795,0.004
4,0.391052272814137,0.013640074372066,0.004
5,0.399172687201908,0.00923297998972875,0.004
6,0.391707218713504,0.00599492278754577,0.004
7,0.380671735060586,0.00298289389008056,0.004
8,0.377404406186482,0.00279234444396569,0.004
2,0.396533443638602,0.0629420519607736,0.005
3,0.410572734873015,0.0149837335526535,0.005
4,0.390892337814868,0.013627825068472,0.005
5,0.399055438089251,0.00921357545284463,0.005
6,0.391583540854103,0.00599589146098269,0.005
7,0.380582580672342,0.00298723071979975,0.005
8,0.377375274886554,0.00279758185707529,0.005
2,0.396402220076422,0.0629611898195171,0.006
3,0.410385004937382,0.0149893824981218,0.006
4,0.390730453379141,0.0136150591514067,0.006
5,0.398938745324564,0.00919395868917107,0.006
6,0.391459423457453,0.00599712340764807,0.006
7,0.380493971710589,0.00299153094392394,0.006
8,0.377346834765876,0.0028031943794493,0.006
2,0.396271031238556,0.0629803436904958,0.007
3,0.410198324169089,0.0149950398885954,0.007
4,0.390566174378458,0.0136021642159269,0.007
5,0.398819965791484,0.00917503160908492,0.007
6,0.391332798581536,0.00599930544298693,0.007
7,0.380406695786632,0.00299545171828047,0.007
8,0.377321093694571,0.00280871790744546,0.007
2,0.396139898043929,0.06299951431369,0.008
3,0.410014181559438,0.0150013428791752,0.008
4,0.390399433637863,0.0135891977326955,0.008
5,0.39870119190103,0.00915624970685156,0.008
6,0.391203445492213,0.00600217197019416,0.008
7,0.380319776665096,0.00299942762259406,0.008
8,0.377297142084852,0.00281435420112624,0.008
2,0.396001548353574,0.0630208698171136,0.009
3,0.409830501288359,0.0150078437284145,0.009
4,0.39023320031266,0.0135762730360168,0.009
5,0.398580859460157,0.00913702728852661,0.009
6,0.391073915965971,0.00600490947617212,0.009
7,0.380233452796782,0.00300404519549697,0.009
8,0.377273182044742,0.00282059618939995,0.009
2,0.39586297356793,0.0630423295554965,0.01
3,0.409646793488494,0.0150144295185301,0.01
4,0.390066997214088,0.0135633861592866,0.01
5,0.398458329354306,0.00911732867802053,0.01
6,0.390942267727808,0.00600661086168986,0.01
7,0.380148461806134,0.00300935036145674,0.01
8,0.377250415772795,0.00282809759154809,0.01
2,0.394529941624718,0.0632428620874576,0.02
3,0.407815774927425,0.0150925641142971,0.02
4,0.388341267691139,0.0134332840263454,0.02
5,0.397229422740731,0.00894311772765318,0.02
6,0.389741435904293,0.00603320044747426,0.02
7,0.379361686057354,0.00310509152377767,0.02
8,0.377121367446352,0.00290931592785055,0.02
2,0.393245924240535,0.0634303587441947,0.03
3,0.406091770583104,0.0151632868829024,0.03
4,0.386618388268857,0.0132984930817354,0.03
5,0.396131478763335,0.00877927343318342,0.03
6,0.388834927807505,0.00606363326195911,0.03
7,0.378833256314583,0.00326609873250086,0.03
8,0.377288003953832,0.00295365014567199,0.03
2,0.392053199832896,0.0635921039866258,0.04
3,0.404252847868547,0.0152102366420683,0.04
4,0.384819130571075,0.0131786459533948,0.04
5,0.395141049476753,0.00862984290120615,0.04
6,0.388108247991213,0.0060915286347615,0.04
7,0.378579133384666,0.0034480489765616,0.04
8,0.378017921831107,0.00302139404988049,0.04
2,0.390890418620401,0.0637404231317946,0.05
3,0.402383870045412,0.0152495268460844,0.05
4,0.382965331854312,0.0130725494550019,0.05
5,0.394155462477398,0.00851043162188295,0.05
6,0.387744646859118,0.00611411571407983,0.05
7,0.378692155203244,0.00361772179976618,0.05
8,0.379304184540434,0.00311768655816848,0.05
2,0.389738883705646,0.0638907054485464,0.06
3,0.400497632733365,0.0153571125351786,0.06
4,0.381274750993525,0.0130261834192094,0.06
5,0.393338304182733,0.00840177609942714,0.06
6,0.387730104486065,0.00610390648498869,0.06
7,0.379288601880372,0.00375240480151953,0.06
8,0.381181400533473,0.00323536349552241,0.06
2,0.388603961433049,0.0640382161363848,0.07
3,0.39874420400828,0.0155387531817277,0.07
4,0.379842204650627,0.0130282856405626,0.07
5,0.39275615627836,0.00828216490002017,0.07
6,0.387939451189557,0.00604183435227487,0.07
7,0.380357849420603,0.00381511805390645,0.07
8,0.383694883247422,0.00334706166029185,0.07
2,0.387587586424513,0.0641600890117054,0.08
3,0.396871686206963,0.0157262587748249,0.08
4,0.378413868754311,0.0131251902768962,0.08
5,0.392532504485051,0.00816765570496886,0.08
6,0.388500523884617,0.00597761268910437,0.08
7,0.381951989820232,0.00380289922682018,0.08
8,0.38678273054051,0.00349384959142747,0.08
2,0.386670179695149,0.0642578746243492,0.09
3,0.394820410966486,0.01597886950476,0.09
4,0.377203067008871,0.0132448284941019,0.09
5,0.392699451692495,0.00808119252279717,0.09
6,0.389497797596263,0.00593994159009674,0.09
7,0.383949402582752,0.0037398271895031,0.09
8,0.390272185096827,0.00365052545520235,0.09
2,0.385834769717535,0.0643375858390574,0.1
3,0.392829869214969,0.0162450676507335,0.1
4,0.376576701155805,0.0132828448415524,0.1
5,0.393193215260776,0.00806780409801866,0.1
6,0.390881235674213,0.00588829931498886,0.1
7,0.38634179581575,0.00365950826906874,0.1
8,0.394108354776026,0.00379922114221752,0.1
2,0.384463195519339,0.0644036128279651,0.12
3,0.38944438339235,0.0167284792874575,0.12
4,0.376032352056947,0.0132579275155255,0.12
5,0.395062456111006,0.00809086790806856,0.12
6,0.394648682757427,0.00564280989439516,0.12
7,0.392379461802035,0.00344254313289634,0.12
8,0.40280768859061,0.00403261201880919,0.12
2,0.383524461526157,0.0644160335538285,0.14
3,0.386413588805528,0.017046835448451,0.14
4,0.376683637496783,0.0130901145856023,0.14
5,0.398706316353437,0.00808419069425358,0.14
6,0.399463676519933,0.00538429398230618,0.14
7,0.399965969813652,0.00322188371463462,0.14
8,0.412885361643832,0.00415320162782985,0.14
2,0.382498634094785,0.0644981540846513,0.16
3,0.383375877653968,0.0174084018406131,0.16
4,0.378307800213885,0.0129643023650763,0.16
5,0.403965146639145,0.00781271537009948,0.16
6,0.405127305668099,0.00516467138201168,0.16
7,0.408755278255543,0.00307960046933357,0.16
8,0.423857152334336,0.00412421251431265,0.16
2,0.380682049223271,0.0647228664171973,0.18
3,0.38097815285706,0.01770606548071,0.18
4,0.381361264443069,0.0126135915166503,0.18
5,0.410225996815977,0.0074315804487218,0.18
6,0.412276795028533,0.00487251328513284,0.18
7,0.419034584196564,0.0029380593622244,0.18
8,0.435650598122712,0.00408965666554155,0.18
2,0.37882010342049,0.0650084619013311,0.2
3,0.379915306893806,0.0179040419009,0.2
4,0.38578302085262,0.0124215518518508,0.2
5,0.41732695985613,0.00710274879390194,0.2
6,0.420504697141958,0.00452462026432307,0.2
7,0.430267977438418,0.00284898523212864,0.2
8,0.448026059718001,0.00400949576025586,0.2
2,0.376014139789025,0.0652967355316461,0.25
3,0.383805569245679,0.0185884292706882,0.25
4,0.402456030247866,0.0129326334359215,0.25
5,0.44235570364787,0.00671491685866958,0.25
6,0.446813170943465,0.00428142685301936,0.25
7,0.463236646685034,0.00286456795368727,0.25
8,0.483322505433843,0.00390957948581905,0.25
2,0.380179997276908,0.0643755471594332,0.3
3,0.397535005828839,0.0199210777389333,0.3
4,0.431802441839047,0.0133722259826302,0.3
5,0.478651127484877,0.00696764465420843,0.3
6,0.481971519921578,0.00429985983151795,0.3
7,0.503550121587828,0.00345286849252722,0.3
8,0.524101989903241,0.0039938423778451,0.3
2,0.393527996453272,0.062863236006903,0.35
3,0.424644397387605,0.0219260982414749,0.35
4,0.475308374718192,0.0136291248454121,0.35
5,0.527003888894669,0.00711501848250723,0.35
6,0.528465940642273,0.00418418497022898,0.35
7,0.553922517681579,0.00371844294742012,0.35
8,0.572718246773762,0.00418485171377038,0.35
2,0.414721846651476,0.0609487755346962,0.4
3,0.470977962975159,0.0224729591332642,0.4
4,0.536631261763744,0.013846725996395,0.4
5,0.586697846739333,0.00672795114309074,0.4
6,0.589292688332071,0.00398114017918402,0.4
7,0.615621830936541,0.00329211040701099,0.4
8,0.632095044209649,0.00458477861005742,0.4
2,0.489775330320676,0.0563097030642718,0.5
3,0.614678989244308,0.0246056821847012,0.5
4,0.709512773883577,0.0124964244154569,0.5
5,0.753479996759558,0.00670839008360536,0.5
6,0.763163640057515,0.00416569322603621,0.5
7,0.790713575403264,0.00289448472999222,0.5
8,0.80681350902749,0.00327421261168589,0.5
2,0.599373664139934,0.0522334856634877,0.6
3,0.80536893038322,0.0257795537755045,0.6
4,0.93578363281214,0.0122623211958722,0.6
5,1.00781791213216,0.00700550081287903,0.6
6,1.04136514987097,0.0052608009584685,0.6
7,1.0867197595916,0.00372688022771686,0.6
8,1.10971809779856,0.00367707667647852,0.6
2,0.734055748083788,0.0507245068737974,0.7
3,1.02100924171128,0.025350596230277,0.7
4,1.18995748802535,0.0116208613037588,0.7
5,1.30027696630931,0.00743367959653678,0.7
6,1.36162102935411,0.00551084372084192,0.7
7,1.42074208096014,0.00442575418994487,0.7
8,1.45950388776436,0.00375041092713857,0.7
2,0.879353058095162,0.0522538579786905,0.8
3,1.24147714271354,0.0252188887605559,0.8
4,1.46209619745978,0.0115852012883684,0.8
5,1.60765661194986,0.00823893261815774,0.8
6,1.70091978092405,0.00537778183826236,0.8
7,1.77534510583166,0.00442179810951663,0.8
8,1.82830622781251,0.00384001300152578,0.8
2,1.0261022734208,0.0550617867864894,0.9
3,1.4670711789306,0.0250677766365343,0.9
4,1.74800994713933,0.0118689412421178,0.9
5,1.93108259677393,0.00900445626636799,0.9
6,2.05568817550897,0.0054433218653912,0.9
7,2.14516069425376,0.00433604206432863,0.9
8,2.21371078386187,0.00401727500047735,0.9
2,1.173,0.0585576638878294,1
3,1.68709287733513,0.0253181125398557,1
4,2.03691202848424,0.0130302281821918,1
5,2.25594225293859,0.00952492163773072,1
6,2.40892334729768,0.00554754231753281,1
7,2.51532710509221,0.00445370319453389,1
8,2.59891534328067,0.00405399315670698,1
